visitor_id,date,bank,channel,city,device,visited,lead,customer,product,revenue
V000020,2024-01-01 19:00:00,Global IME Bank,Organic Search,Butwal,Mobile,1,1,1,Credit Card,6819
V000021,2024-01-01 20:00:00,Machhapuchhre Bank,Organic Search,Kathmandu,Desktop,1,0,0,No Product,0
V000022,2024-01-01 21:00:00,Sanima Bank,Email Campaign,Lalitpur,Desktop,1,1,0,No Product,0
V000023,2024-01-01 22:00:00,Global IME Bank,Facebook Ads,Lalitpur,Mobile,1,0,0,No Product,0
V000024,2024-01-01 23:00:00,NMB Bank,Organic Search,Kathmandu,Mobile,1,1,0,No Product,0
V000025,2024-01-02 00:00:00,NIC Asia Bank,Referral,Pokhara,Tablet,1,1,0,No Product,0
V000026,2024-01-02 01:00:00,Machhapuchhre Bank,Organic Search,Nepalgunj,Tablet,1,0,0,No Product,0
V000027,2024-01-02 02:00:00,Global IME Bank,Organic Search,Bharatpur,Tablet,1,0,0,No Product,0
V000028,2024-01-02 03:00:00,Sanima Bank,Organic Search,Pokhara,Tablet,1,1,1,Credit Card,7864
V000029,2024-01-02 04:00:00,Sanima Bank,Google Search,Pokhara,Tablet,1,1,0,No Product,0
V000030,2024-01-02 05:00:00,Everest Bank,Google Search,Bharatpur,Desktop,1,1,1,Fixed Deposit,55222
V000031,2024-01-02 06:00:00,Everest Bank,Google Search,Pokhara,Tablet,1,1,0,No Product,0
V000032,2024-01-02 07:00:00,NMB Bank,Google Search,Lalitpur,Tablet,1,1,0,No Product,0
V000033,2024-01-02 08:00:00,Global IME Bank,Email Campaign,Biratnagar,Tablet,1,1,0,No Product,0
V000034,2024-01-02 09:00:00,Global IME Bank,Organic Search,Kathmandu,Mobile,1,1,0,No Product,0
V000035,2024-01-02 10:00:00,NIC Asia Bank,Email Campaign,Biratnagar,Tablet,1,1,0,No Product,0
V000036,2024-01-02 11:00:00,NIC Asia Bank,Referral,Lalitpur,Desktop,1,0,0,No Product,0
V000037,2024-01-02 12:00:00,NIC Asia Bank,Facebook Ads,Biratnagar,Mobile,1,0,0,No Product,0
V000038,2024-01-02 13:00:00,Everest Bank,Email Campaign,Lalitpur,Mobile,1,1,0,No Product,0
V000039,2024-01-02 14:00:00,Global IME Bank,Google Search,Butwal,Tablet,1,0,0,No Product,0
V000040,2024-01-02 15:00:00,Global IME Bank,Google Search,Bharatpur,Mobile,1,1,1,Loan,811206
V000041,2024-01-02 16:00:00,Sanima Bank,Referral,Bharatpur,Tablet,1,0,0,No Product,0
V000042,2024-01-02 17:00:00,Everest Bank,Organic Search,Biratnagar,Tablet,1,0,0,No Product,0
V000043,2024-01-02 18:00:00,Machhapuchhre Bank,Facebook Ads,Lalitpur,Tablet,1,0,0,No Product,0
V000044,2024-01-02 19:00:00,Everest Bank,Email Campaign,Bharatpur,Desktop,1,1,0,No Product,0
V000045,2024-01-02 20:00:00,Machhapuchhre Bank,Organic Search,Butwal,Mobile,1,1,1,Savings Account,2895
V000046,2024-01-02 21:00:00,Sanima Bank,Organic Search,Biratnagar,Mobile,1,0,0,No Product,0
V000047,2024-01-02 22:00:00,NMB Bank,Email Campaign,Kathmandu,Mobile,1,1,0,No Product,0
V000048,2024-01-02 23:00:00,Global IME Bank,Email Campaign,Pokhara,Mobile,1,0,0,No Product,0
V000049,2024-01-03 00:00:00,Sanima Bank,Email Campaign,Nepalgunj,Mobile,1,1,0,No Product,0
V000050,2024-01-03 01:00:00,Global IME Bank,Email Campaign,Bharatpur,Tablet,1,0,0,No Product,0
V000051,2024-01-03 02:00:00,NIC Asia Bank,Google Search,Lalitpur,Tablet,1,1,1,Savings Account,1643
V000052,2024-01-03 03:00:00,NMB Bank,Organic Search,Bharatpur,Tablet,1,0,0,No Product,0
V000053,2024-01-03 04:00:00,NMB Bank,Organic Search,Lalitpur,Desktop,1,1,0,No Product,0
V000054,2024-01-03 05:00:00,Sanima Bank,Google Search,Biratnagar,Desktop,1,0,0,No Product,0
V000055,2024-01-03 06:00:00,NMB Bank,Organic Search,Biratnagar,Desktop,1,0,0,No Product,0
V000056,2024-01-03 07:00:00,Machhapuchhre Bank,Email Campaign,Pokhara,Desktop,1,1,0,No Product,0
V000057,2024-01-03 08:00:00,NMB Bank,Facebook Ads,Bharatpur,Mobile,1,0,0,No Product,0
V000058,2024-01-03 09:00:00,Global IME Bank,Organic Search,Pokhara,Desktop,1,0,0,No Product,0
V000059,2024-01-03 10:00:00,Global IME Bank,Facebook Ads,Lalitpur,Mobile,1,1,1,Fixed Deposit,183008
V000060,2024-01-03 11:00:00,Global IME Bank,Facebook Ads,Butwal,Mobile,1,1,1,Loan,459723
V000061,2024-01-03 12:00:00,Global IME Bank,Google Search,Butwal,Mobile,1,0,0,No Product,0
V000062,2024-01-03 13:00:00,Machhapuchhre Bank,Referral,Nepalgunj,Tablet,1,0,0,No Product,0
V000063,2024-01-03 14:00:00,Everest Bank,Organic Search,Kathmandu,Tablet,1,1,0,No Product,0
V000064,2024-01-03 15:00:00,NIC Asia Bank,Google Search,Lalitpur,Mobile,1,0,0,No Product,0
V000065,2024-01-03 16:00:00,Sanima Bank,Google Search,Lalitpur,Desktop,1,0,0,No Product,0
V000066,2024-01-03 17:00:00,Global IME Bank,Facebook Ads,Lalitpur,Mobile,1,0,0,No Product,0
V000067,2024-01-03 18:00:00,NMB Bank,Organic Search,Biratnagar,Tablet,1,0,0,No Product,0
V000068,2024-01-03 19:00:00,Global IME Bank,Google Search,Biratnagar,Desktop,1,1,0,No Product,0
V000069,2024-01-03 20:00:00,NMB Bank,Email Campaign,Butwal,Tablet,1,1,0,No Product,0
V000070,2024-01-03 21:00:00,NIC Asia Bank,Google Search,Butwal,Desktop,1,1,0,No Product,0
V000071,2024-01-03 22:00:00,NIC Asia Bank,Email Campaign,Nepalgunj,Tablet,1,1,0,No Product,0
V000072,2024-01-03 23:00:00,NIC Asia Bank,Referral,Nepalgunj,Mobile,1,0,0,No Product,0
V000073,2024-01-04 00:00:00,NMB Bank,Email Campaign,Butwal,Tablet,1,1,0,No Product,0
V000074,2024-01-04 01:00:00,Global IME Bank,Email Campaign,Bharatpur,Desktop,1,0,0,No Product,0
V000075,2024-01-04 02:00:00,NIC Asia Bank,Facebook Ads,Bharatpur,Tablet,1,0,0,No Product,0
V000076,2024-01-04 03:00:00,Machhapuchhre Bank,Google Search,Butwal,Desktop,1,0,0,No Product,0
V000077,2024-01-04 04:00:00,NMB Bank,Referral,Pokhara,Tablet,1,1,0,No Product,0
V000078,2024-01-04 05:00:00,NMB Bank,Google Search,Bharatpur,Tablet,1,0,0,No Product,0
V000079,2024-01-04 06:00:00,Global IME Bank,Email Campaign,Biratnagar,Mobile,1,0,0,No Product,0
V000080,2024-01-04 07:00:00,NMB Bank,Email Campaign,Bharatpur,Desktop,1,0,0,No Product,0
V000081,2024-01-04 08:00:00,NMB Bank,Google Search,Bharatpur,Desktop,1,0,0,No Product,0
V000082,2024-01-04 09:00:00,NIC Asia Bank,Referral,Bharatpur,Mobile,1,1,0,No Product,0
V000083,2024-01-04 10:00:00,Global IME Bank,Referral,Nepalgunj,Tablet,1,0,0,No Product,0
V000084,2024-01-04 11:00:00,NIC Asia Bank,Facebook Ads,Nepalgunj,Desktop,1,1,0,No Product,0
V000085,2024-01-04 12:00:00,NIC Asia Bank,Email Campaign,Kathmandu,Desktop,1,1,0,No Product,0
V000086,2024-01-04 13:00:00,Global IME Bank,Email Campaign,Bharatpur,Desktop,1,0,0,No Product,0
V000087,2024-01-04 14:00:00,Sanima Bank,Facebook Ads,Pokhara,Mobile,1,1,1,Credit Card,2073
V000088,2024-01-04 15:00:00,NIC Asia Bank,Google Search,Nepalgunj,Mobile,1,0,0,No Product,0
V000089,2024-01-04 16:00:00,Machhapuchhre Bank,Email Campaign,Kathmandu,Desktop,1,0,0,No Product,0
V000090,2024-01-04 17:00:00,Machhapuchhre Bank,Google Search,Biratnagar,Tablet,1,0,0,No Product,0
V000091,2024-01-04 18:00:00,NMB Bank,Referral,Biratnagar,Tablet,1,0,0,No Product,0
V000092,2024-01-04 19:00:00,Machhapuchhre Bank,Organic Search,Bharatpur,Mobile,1,1,0,No Product,0
V000093,2024-01-04 20:00:00,NMB Bank,Facebook Ads,Lalitpur,Tablet,1,0,0,No Product,0
V000094,2024-01-04 21:00:00,Sanima Bank,Email Campaign,Kathmandu,Mobile,1,0,0,No Product,0
V000095,2024-01-04 22:00:00,Global IME Bank,Facebook Ads,Nepalgunj,Desktop,1,0,0,No Product,0
V000096,2024-01-04 23:00:00,Global IME Bank,Referral,Biratnagar,Desktop,1,1,0,No Product,0
V000097,2024-01-05 00:00:00,Global IME Bank,Referral,Bharatpur,Desktop,1,0,0,No Product,0
V000098,2024-01-05 01:00:00,Machhapuchhre Bank,Referral,Pokhara,Mobile,1,0,0,No Product,0
V000099,2024-01-05 02:00:00,Sanima Bank,Referral,Butwal,Tablet,1,1,0,No Product,0
V000100,2024-01-05 03:00:00,Machhapuchhre Bank,Organic Search,Biratnagar,Desktop,1,0,0,No Product,0
V000101,2024-01-05 04:00:00,Machhapuchhre Bank,Google Search,Bharatpur,Tablet,1,0,0,No Product,0
V000102,2024-01-05 05:00:00,Sanima Bank,Google Search,Lalitpur,Tablet,1,0,0,No Product,0
V000103,2024-01-05 06:00:00,Sanima Bank,Organic Search,Pokhara,Mobile,1,1,1,Credit Card,7976
V000104,2024-01-05 07:00:00,Sanima Bank,Google Search,Biratnagar,Mobile,1,1,0,No Product,0
V000105,2024-01-05 08:00:00,Sanima Bank,Referral,Kathmandu,Tablet,1,0,0,No Product,0
V000106,2024-01-05 09:00:00,Global IME Bank,Google Search,Pokhara,Tablet,1,1,0,No Product,0
V000107,2024-01-05 10:00:00,Everest Bank,Facebook Ads,Bharatpur,Desktop,1,0,0,No Product,0
V000108,2024-01-05 11:00:00,Everest Bank,Google Search,Nepalgunj,Desktop,1,1,0,No Product,0
V000109,2024-01-05 12:00:00,Sanima Bank,Facebook Ads,Biratnagar,Desktop,1,0,0,No Product,0
V000110,2024-01-05 13:00:00,Everest Bank,Email Campaign,Biratnagar,Tablet,1,0,0,No Product,0
V000111,2024-01-05 14:00:00,Everest Bank,Facebook Ads,Lalitpur,Mobile,1,1,0,No Product,0
V000112,2024-01-05 15:00:00,Sanima Bank,Facebook Ads,Biratnagar,Tablet,1,0,0,No Product,0
V000113,2024-01-05 16:00:00,Everest Bank,Referral,Nepalgunj,Desktop,1,0,0,No Product,0
V000114,2024-01-05 17:00:00,Machhapuchhre Bank,Referral,Pokhara,Desktop,1,0,0,No Product,0
V000115,2024-01-05 18:00:00,NMB Bank,Referral,Biratnagar,Mobile,1,0,0,No Product,0
V000116,2024-01-05 19:00:00,NMB Bank,Facebook Ads,Pokhara,Tablet,1,1,0,No Product,0
V000117,2024-01-05 20:00:00,Sanima Bank,Organic Search,Butwal,Desktop,1,1,0,No Product,0
V000118,2024-01-05 21:00:00,Global IME Bank,Referral,Nepalgunj,Mobile,1,1,0,No Product,0
V000119,2024-01-05 22:00:00,Sanima Bank,Referral,Butwal,Desktop,1,1,0,No Product,0
V000120,2024-01-05 23:00:00,Global IME Bank,Facebook Ads,Bharatpur,Mobile,1,0,0,No Product,0
V000121,2024-01-06 00:00:00,NMB Bank,Email Campaign,Kathmandu,Tablet,1,0,0,No Product,0
V000122,2024-01-06 01:00:00,Sanima Bank,Email Campaign,Kathmandu,Mobile,1,1,0,No Product,0
V000123,2024-01-06 02:00:00,NIC Asia Bank,Google Search,Lalitpur,Tablet,1,0,0,No Product,0
V000124,2024-01-06 03:00:00,Machhapuchhre Bank,Email Campaign,Nepalgunj,Tablet,1,0,0,No Product,0
V000125,2024-01-06 04:00:00,Everest Bank,Referral,Bharatpur,Desktop,1,0,0,No Product,0
V000126,2024-01-06 05:00:00,Global IME Bank,Organic Search,Kathmandu,Tablet,1,0,0,No Product,0
V000127,2024-01-06 06:00:00,NIC Asia Bank,Google Search,Biratnagar,Desktop,1,1,0,No Product,0
V000128,2024-01-06 07:00:00,Everest Bank,Organic Search,Pokhara,Desktop,1,1,0,No Product,0
V000129,2024-01-06 08:00:00,Everest Bank,Organic Search,Bharatpur,Tablet,1,1,1,Fixed Deposit,111563
V000130,2024-01-06 09:00:00,Sanima Bank,Referral,Pokhara,Mobile,1,0,0,No Product,0
V000131,2024-01-06 10:00:00,Everest Bank,Facebook Ads,Lalitpur,Tablet,1,1,0,No Product,0
V000132,2024-01-06 11:00:00,Machhapuchhre Bank,Facebook Ads,Nepalgunj,Tablet,1,0,0,No Product,0
V000133,2024-01-06 12:00:00,NIC Asia Bank,Facebook Ads,Biratnagar,Mobile,1,0,0,No Product,0
V000134,2024-01-06 13:00:00,Everest Bank,Email Campaign,Bharatpur,Desktop,1,0,0,No Product,0
V000135,2024-01-06 14:00:00,Sanima Bank,Facebook Ads,Biratnagar,Desktop,1,0,0,No Product,0
V000136,2024-01-06 15:00:00,Machhapuchhre Bank,Referral,Biratnagar,Tablet,1,0,0,No Product,0
V000137,2024-01-06 16:00:00,NMB Bank,Email Campaign,Nepalgunj,Mobile,1,0,0,No Product,0
V000138,2024-01-06 17:00:00,NIC Asia Bank,Facebook Ads,Biratnagar,Mobile,1,1,0,No Product,0
V000139,2024-01-06 18:00:00,Everest Bank,Organic Search,Lalitpur,Mobile,1,1,1,Fixed Deposit,163680
V000140,2024-01-06 19:00:00,Sanima Bank,Referral,Nepalgunj,Mobile,1,0,0,No Product,0
V000141,2024-01-06 20:00:00,NMB Bank,Referral,Butwal,Tablet,1,1,0,No Product,0
V000142,2024-01-06 21:00:00,NMB Bank,Google Search,Lalitpur,Tablet,1,0,0,No Product,0
V000143,2024-01-06 22:00:00,Global IME Bank,Referral,Biratnagar,Desktop,1,1,0,No Product,0
V000144,2024-01-06 23:00:00,Machhapuchhre Bank,Organic Search,Butwal,Mobile,1,0,0,No Product,0
V000145,2024-01-07 00:00:00,Everest Bank,Referral,Bharatpur,Tablet,1,1,0,No Product,0
V000146,2024-01-07 01:00:00,Sanima Bank,Google Search,Pokhara,Tablet,1,0,0,No Product,0
V000147,2024-01-07 02:00:00,Global IME Bank,Referral,Pokhara,Mobile,1,0,0,No Product,0
V000148,2024-01-07 03:00:00,Machhapuchhre Bank,Referral,Pokhara,Mobile,1,1,0,No Product,0
V000149,2024-01-07 04:00:00,Global IME Bank,Google Search,Lalitpur,Desktop,1,1,0,No Product,0
V000150,2024-01-07 05:00:00,NIC Asia Bank,Referral,Bharatpur,Mobile,1,1,1,Loan,515557
V000151,2024-01-07 06:00:00,Machhapuchhre Bank,Email Campaign,Bharatpur,Desktop,1,1,1,Savings Account,4383
V000152,2024-01-07 07:00:00,Machhapuchhre Bank,Referral,Butwal,Desktop,1,1,1,Fixed Deposit,178364
V000153,2024-01-07 08:00:00,Everest Bank,Facebook Ads,Bharatpur,Mobile,1,0,0,No Product,0
V000154,2024-01-07 09:00:00,Machhapuchhre Bank,Facebook Ads,Pokhara,Mobile,1,0,0,No Product,0
V000155,2024-01-07 10:00:00,Global IME Bank,Email Campaign,Bharatpur,Tablet,1,0,0,No Product,0
V000156,2024-01-07 11:00:00,Machhapuchhre Bank,Referral,Butwal,Mobile,1,0,0,No Product,0
V000157,2024-01-07 12:00:00,Everest Bank,Organic Search,Bharatpur,Mobile,1,1,0,No Product,0
V000158,2024-01-07 13:00:00,Everest Bank,Referral,Bharatpur,Desktop,1,1,1,Savings Account,3131
V000159,2024-01-07 14:00:00,NIC Asia Bank,Facebook Ads,Pokhara,Mobile,1,0,0,No Product,0
V000160,2024-01-07 15:00:00,Global IME Bank,Google Search,Bharatpur,Tablet,1,1,0,No Product,0
V000161,2024-01-07 16:00:00,NMB Bank,Email Campaign,Lalitpur,Tablet,1,1,0,No Product,0
V000162,2024-01-07 17:00:00,NMB Bank,Google Search,Nepalgunj,Mobile,1,0,0,No Product,0
V000163,2024-01-07 18:00:00,Machhapuchhre Bank,Organic Search,Butwal,Mobile,1,0,0,No Product,0
V000164,2024-01-07 19:00:00,NIC Asia Bank,Referral,Butwal,Desktop,1,1,0,No Product,0
V000165,2024-01-07 20:00:00,Sanima Bank,Organic Search,Butwal,Mobile,1,1,0,No Product,0
V000166,2024-01-07 21:00:00,Machhapuchhre Bank,Google Search,Bharatpur,Desktop,1,0,0,No Product,0
V000167,2024-01-07 22:00:00,NIC Asia Bank,Referral,Lalitpur,Mobile,1,1,1,Loan,717407
V000168,2024-01-07 23:00:00,Global IME Bank,Organic Search,Nepalgunj,Desktop,1,1,0,No Product,0
V000169,2024-01-08 00:00:00,Global IME Bank,Facebook Ads,Biratnagar,Tablet,1,0,0,No Product,0
V000170,2024-01-08 01:00:00,Global IME Bank,Facebook Ads,Biratnagar,Mobile,1,1,0,No Product,0
V000171,2024-01-08 02:00:00,Global IME Bank,Email Campaign,Butwal,Mobile,1,1,0,No Product,0
V000172,2024-01-08 03:00:00,Global IME Bank,Facebook Ads,Kathmandu,Desktop,1,0,0,No Product,0
V000173,2024-01-08 04:00:00,NIC Asia Bank,Facebook Ads,Biratnagar,Desktop,1,1,1,Credit Card,5030
V000174,2024-01-08 05:00:00,NIC Asia Bank,Google Search,Biratnagar,Mobile,1,0,0,No Product,0
V000175,2024-01-08 06:00:00,Everest Bank,Facebook Ads,Pokhara,Desktop,1,0,0,No Product,0
V000176,2024-01-08 07:00:00,NMB Bank,Facebook Ads,Kathmandu,Mobile,1,1,0,No Product,0
V000177,2024-01-08 08:00:00,Global IME Bank,Google Search,Kathmandu,Tablet,1,0,0,No Product,0
V000178,2024-01-08 09:00:00,Sanima Bank,Facebook Ads,Butwal,Desktop,1,0,0,No Product,0
V000179,2024-01-08 10:00:00,NIC Asia Bank,Facebook Ads,Nepalgunj,Mobile,1,0,0,No Product,0
V000180,2024-01-08 11:00:00,Sanima Bank,Email Campaign,Nepalgunj,Tablet,1,1,0,No Product,0
V000181,2024-01-08 12:00:00,Sanima Bank,Facebook Ads,Kathmandu,Mobile,1,1,0,No Product,0
V000182,2024-01-08 13:00:00,Sanima Bank,Facebook Ads,Kathmandu,Mobile,1,0,0,No Product,0
V000183,2024-01-08 14:00:00,Everest Bank,Email Campaign,Biratnagar,Tablet,1,0,0,No Product,0
V000184,2024-01-08 15:00:00,NIC Asia Bank,Google Search,Lalitpur,Desktop,1,1,0,No Product,0
V000185,2024-01-08 16:00:00,Sanima Bank,Facebook Ads,Pokhara,Tablet,1,0,0,No Product,0
V000186,2024-01-08 17:00:00,Global IME Bank,Organic Search,Bharatpur,Mobile,1,1,0,No Product,0
V000187,2024-01-08 18:00:00,Machhapuchhre Bank,Google Search,Butwal,Tablet,1,0,0,No Product,0
V000188,2024-01-08 19:00:00,Sanima Bank,Google Search,Biratnagar,Mobile,1,0,0,No Product,0
V000189,2024-01-08 20:00:00,Everest Bank,Facebook Ads,Biratnagar,Tablet,1,0,0,No Product,0
V000190,2024-01-08 21:00:00,NIC Asia Bank,Email Campaign,Butwal,Desktop,1,1,1,Loan,857217
V000191,2024-01-08 22:00:00,Everest Bank,Google Search,Kathmandu,Tablet,1,0,0,No Product,0
V000192,2024-01-08 23:00:00,Sanima Bank,Email Campaign,Bharatpur,Tablet,1,0,0,No Product,0
V000193,2024-01-09 00:00:00,NIC Asia Bank,Organic Search,Biratnagar,Desktop,1,1,0,No Product,0
V000194,2024-01-09 01:00:00,Machhapuchhre Bank,Email Campaign,Bharatpur,Mobile,1,0,0,No Product,0
V000195,2024-01-09 02:00:00,Sanima Bank,Referral,Bharatpur,Tablet,1,1,0,No Product,0
V000196,2024-01-09 03:00:00,Everest Bank,Email Campaign,Butwal,Mobile,1,1,1,Fixed Deposit,189158
V000197,2024-01-09 04:00:00,NMB Bank,Google Search,Butwal,Tablet,1,1,0,No Product,0
V000198,2024-01-09 05:00:00,Global IME Bank,Email Campaign,Nepalgunj,Desktop,1,1,0,No Product,0
V000199,2024-01-09 06:00:00,Everest Bank,Email Campaign,Biratnagar,Tablet,1,1,1,Loan,607090
V000200,2024-01-09 07:00:00,NIC Asia Bank,Referral,Biratnagar,Mobile,1,1,0,No Product,0
V000201,2024-01-09 08:00:00,Sanima Bank,Referral,Nepalgunj,Mobile,1,0,0,No Product,0
V000202,2024-01-09 09:00:00,Global IME Bank,Facebook Ads,Nepalgunj,Desktop,1,1,0,No Product,0
V000203,2024-01-09 10:00:00,Sanima Bank,Google Search,Biratnagar,Mobile,1,0,0,No Product,0
V000204,2024-01-09 11:00:00,NIC Asia Bank,Facebook Ads,Lalitpur,Desktop,1,1,0,No Product,0
V000205,2024-01-09 12:00:00,Sanima Bank,Referral,Butwal,Desktop,1,0,0,No Product,0
V000206,2024-01-09 13:00:00,NMB Bank,Email Campaign,Butwal,Mobile,1,1,1,Fixed Deposit,86887
V000207,2024-01-09 14:00:00,Global IME Bank,Referral,Lalitpur,Mobile,1,0,0,No Product,0
V000208,2024-01-09 15:00:00,Global IME Bank,Organic Search,Butwal,Desktop,1,1,0,No Product,0
V000209,2024-01-09 16:00:00,NIC Asia Bank,Email Campaign,Kathmandu,Mobile,1,0,0,No Product,0
V000210,2024-01-09 17:00:00,NMB Bank,Facebook Ads,Kathmandu,Desktop,1,1,1,Savings Account,2330
V000211,2024-01-09 18:00:00,Everest Bank,Email Campaign,Nepalgunj,Tablet,1,0,0,No Product,0
V000212,2024-01-09 19:00:00,Sanima Bank,Organic Search,Lalitpur,Mobile,1,1,0,No Product,0
V000213,2024-01-09 20:00:00,Machhapuchhre Bank,Referral,Biratnagar,Mobile,1,1,0,No Product,0
V000214,2024-01-09 21:00:00,Sanima Bank,Google Search,Lalitpur,Desktop,1,1,0,No Product,0
V000215,2024-01-09 22:00:00,Sanima Bank,Google Search,Kathmandu,Tablet,1,1,0,No Product,0
V000216,2024-01-09 23:00:00,Everest Bank,Google Search,Bharatpur,Tablet,1,0,0,No Product,0
V000217,2024-01-10 00:00:00,Sanima Bank,Referral,Butwal,Mobile,1,1,1,Savings Account,1071
V000218,2024-01-10 01:00:00,NMB Bank,Google Search,Pokhara,Desktop,1,0,0,No Product,0
V000219,2024-01-10 02:00:00,NMB Bank,Organic Search,Pokhara,Desktop,1,0,0,No Product,0
V000220,2024-01-10 03:00:00,Global IME Bank,Referral,Lalitpur,Mobile,1,0,0,No Product,0
V000221,2024-01-10 04:00:00,NIC Asia Bank,Google Search,Pokhara,Tablet,1,0,0,No Product,0
V000222,2024-01-10 05:00:00,Machhapuchhre Bank,Facebook Ads,Bharatpur,Desktop,1,0,0,No Product,0
V000223,2024-01-10 06:00:00,Sanima Bank,Referral,Pokhara,Desktop,1,0,0,No Product,0
V000224,2024-01-10 07:00:00,Sanima Bank,Referral,Kathmandu,Mobile,1,0,0,No Product,0
V000225,2024-01-10 08:00:00,Everest Bank,Email Campaign,Lalitpur,Mobile,1,0,0,No Product,0
V000226,2024-01-10 09:00:00,NIC Asia Bank,Google Search,Biratnagar,Tablet,1,1,0,No Product,0
V000227,2024-01-10 10:00:00,NMB Bank,Facebook Ads,Pokhara,Tablet,1,1,0,No Product,0
V000228,2024-01-10 11:00:00,Machhapuchhre Bank,Organic Search,Butwal,Desktop,1,1,0,No Product,0
V000229,2024-01-10 12:00:00,Global IME Bank,Referral,Nepalgunj,Mobile,1,0,0,No Product,0
V000230,2024-01-10 13:00:00,NMB Bank,Organic Search,Nepalgunj,Mobile,1,0,0,No Product,0
V000231,2024-01-10 14:00:00,NIC Asia Bank,Organic Search,Lalitpur,Mobile,1,1,0,No Product,0
V000232,2024-01-10 15:00:00,Global IME Bank,Organic Search,Bharatpur,Tablet,1,0,0,No Product,0
V000233,2024-01-10 16:00:00,Everest Bank,Email Campaign,Kathmandu,Tablet,1,1,1,Savings Account,4696
V000234,2024-01-10 17:00:00,Everest Bank,Organic Search,Nepalgunj,Desktop,1,1,0,No Product,0
V000235,2024-01-10 18:00:00,Sanima Bank,Google Search,Pokhara,Mobile,1,0,0,No Product,0
V000236,2024-01-10 19:00:00,NIC Asia Bank,Google Search,Kathmandu,Tablet,1,0,0,No Product,0
V000237,2024-01-10 20:00:00,Machhapuchhre Bank,Facebook Ads,Bharatpur,Mobile,1,0,0,No Product,0
V000238,2024-01-10 21:00:00,Global IME Bank,Facebook Ads,Nepalgunj,Tablet,1,0,0,No Product,0
V000239,2024-01-10 22:00:00,NMB Bank,Organic Search,Biratnagar,Mobile,1,0,0,No Product,0
V000240,2024-01-10 23:00:00,NIC Asia Bank,Organic Search,Pokhara,Desktop,1,1,0,No Product,0
V000241,2024-01-11 00:00:00,NIC Asia Bank,Email Campaign,Biratnagar,Tablet,1,1,0,No Product,0
V000242,2024-01-11 01:00:00,Everest Bank,Organic Search,Biratnagar,Tablet,1,0,0,No Product,0
V000243,2024-01-11 02:00:00,Sanima Bank,Organic Search,Lalitpur,Desktop,1,1,0,No Product,0
V000244,2024-01-11 03:00:00,Sanima Bank,Organic Search,Biratnagar,Desktop,1,0,0,No Product,0
V000245,2024-01-11 04:00:00,Global IME Bank,Referral,Lalitpur,Mobile,1,0,0,No Product,0
V000246,2024-01-11 05:00:00,Everest Bank,Referral,Biratnagar,Tablet,1,1,0,No Product,0
V000247,2024-01-11 06:00:00,NIC Asia Bank,Email Campaign,Nepalgunj,Mobile,1,0,0,No Product,0
V000248,2024-01-11 07:00:00,Machhapuchhre Bank,Email Campaign,Butwal,Mobile,1,1,0,No Product,0
V000249,2024-01-11 08:00:00,Everest Bank,Google Search,Bharatpur,Mobile,1,0,0,No Product,0
V000250,2024-01-11 09:00:00,Global IME Bank,Email Campaign,Pokhara,Tablet,1,0,0,No Product,0
